,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
51862,2006,2,6,XE,PIT,PA,1610,2002,1117.0,1,0,0,0,0
51863,2006,2,5,XE,AMA,TX,2055,2236,519.0,1,0,1,0,0
51864,2006,2,7,XE,MKE,WI,1915,2159,984.0,1,0,1,0,0
51865,2006,2,5,XE,GSP,SC,1055,1405,838.0,0,0,1,0,0
51866,2006,2,6,XE,PBI,FL,745,1110,956.0,0,0,1,0,0
51867,2006,2,4,XE,SHV,LA,1550,1645,192.0,1,0,1,0,0
51868,2006,2,4,XE,CAE,SC,1300,1619,878.0,0,0,0,0,1
51869,2006,2,3,XE,JAX,FL,1615,1922,817.0,0,0,0,1,1
51870,2006,2,1,XE,TUL,OK,1800,1930,429.0,1,0,0,0,1
51871,2006,2,5,XE,PHX,AZ,1545,1750,1009.0,1,0,1,0,0
51872,2006,2,1,XE,CRP,TX,2245,2340,201.0,1,0,1,0,0
51873,2006,2,6,XE,CMH,OH,1050,1420,986.0,0,0,1,0,0
51874,2006,2,3,XE,HSV,AL,1250,1439,595.0,0,0,0,1,0
51875,2006,2,6,XE,BOI,ID,1805,2104,1482.0,1,0,1,0,0
51876,2006,2,1,XE,PIT,PA,1610,2002,1117.0,0,0,1,0,0
51877,2006,2,1,XE,JAN,MS,1920,2047,351.0,0,0,1,0,0
51878,2006,2,2,XE,ATL,GA,1050,1350,689.0,0,0,1,0,1
51879,2006,2,1,XE,IND,IN,1030,1348,845.0,1,0,0,0,1
51880,2006,2,6,XE,ABQ,NM,1425,1542,744.0,0,0,1,0,1
51881,2006,2,5,XE,AEX,LA,2120,2220,190.0,0,0,1,0,0
51882,2006,2,1,XE,BOI,ID,930,1220,1482.0,0,0,1,1,0
51883,2006,2,7,XE,DAL,TX,1730,1833,217.0,1,0,1,0,0
51884,2006,2,6,XE,TLH,FL,1120,1405,658.0,0,0,1,0,0
51885,2006,2,1,XE,IAD,VA,1920,2324,1190.0,0,0,1,0,0
51886,2006,2,3,XE,RIC,VA,1920,2310,1157.0,0,0,0,1,0
51887,2006,2,2,XE,GSP,SC,1300,1610,838.0,1,0,0,0,0
51888,2006,2,7,XE,AMA,TX,900,1040,519.0,1,0,1,0,0
51889,2006,2,2,XE,BNA,TN,735,927,657.0,1,0,1,0,0
51890,2006,2,1,XE,ELP,TX,1905,2010,667.0,1,0,1,0,0
51891,2006,2,3,XE,STL,MO,1755,2000,668.0,0,0,0,1,1
51892,2006,2,5,XE,JAN,MS,1545,1703,351.0,1,0,1,0,0
51893,2006,2,4,XE,AMA,TX,1740,1919,519.0,1,0,1,0,1
51894,2006,2,2,XE,DSM,IA,1255,1509,802.0,0,1,1,0,0
51895,2006,2,5,XE,DFW,TX,905,1017,224.0,0,0,1,0,1
51896,2006,2,1,XE,BRO,TX,1925,2045,308.0,0,0,1,1,0
51897,2006,2,2,XE,MLU,LA,1845,1950,262.0,0,1,1,0,1
51898,2006,2,1,XE,BFL,CA,1740,1935,1428.0,0,0,1,0,0
51899,2006,2,3,XE,LBB,TX,1135,1308,458.0,0,0,1,0,1
51900,2006,2,1,XE,XNA,AR,1530,1656,438.0,0,0,1,1,1
51901,2006,2,2,XE,COS,CO,1140,1305,809.0,0,1,1,0,1
51902,2006,2,1,XE,RSW,FL,915,1234,861.0,0,0,1,0,0
51903,2006,2,7,XE,OMA,NE,905,1120,781.0,1,0,1,0,0
51904,2006,2,3,XE,SDF,KY,745,1102,788.0,0,1,0,0,1
51905,2006,2,5,XE,AEX,LA,1925,2035,190.0,1,0,0,0,1
51906,2006,2,1,XE,MSP,MN,1550,1830,1034.0,0,0,1,0,0
51907,2006,2,1,XE,DAL,TX,830,930,217.0,1,0,1,0,0
51908,2006,2,1,XE,PNS,FL,1555,1725,489.0,0,0,1,1,1
51909,2006,2,1,XE,DAL,TX,630,727,217.0,1,0,1,0,0
51910,2006,2,5,XE,SHV,LA,2120,2218,192.0,0,1,0,0,0
51911,2006,2,5,XE,RIC,VA,1920,2310,1157.0,0,1,1,0,1
51912,2006,2,3,XE,DAY,OH,1305,1630,929.0,0,0,1,0,1
51913,2006,2,6,XE,CRP,TX,1625,1725,201.0,0,1,0,0,1
51914,2006,2,4,XE,BFL,CA,1805,2002,1428.0,0,0,1,1,0
51915,2006,2,4,XE,CHS,SC,1920,2248,925.0,1,0,0,0,1
51916,2006,2,7,XE,BRO,TX,2115,2230,308.0,0,0,0,0,1
51917,2006,2,5,XE,LRD,TX,2120,2237,301.0,1,0,1,0,0
51918,2006,2,7,XE,PHX,AZ,1555,1748,1009.0,1,0,1,0,0
51919,2006,2,3,XE,OMA,NE,1255,1505,781.0,0,0,0,1,0
51920,2006,2,5,XE,JAN,MS,745,900,351.0,1,0,0,0,0
51921,2006,2,7,XE,RDU,NC,735,1105,1043.0,1,0,1,0,0
51922,2006,2,1,XE,IAD,VA,1915,2315,1190.0,1,0,0,0,0
51923,2006,2,7,XE,AMA,TX,1740,1923,519.0,1,0,0,0,0
51924,2006,2,4,XE,MTJ,CO,1145,1320,926.0,0,0,1,0,0
51925,2006,2,7,XE,ORF,VA,1045,1432,1201.0,1,0,1,0,0
51926,2006,2,6,XE,LBB,TX,857,1030,458.0,1,0,1,0,0
51927,2006,2,5,XE,BFL,CA,945,1139,1428.0,1,0,1,0,0
51928,2006,2,6,XE,BNA,TN,1630,1825,657.0,1,0,1,0,0
51929,2006,2,1,XE,PSP,CA,1800,1935,1269.0,0,0,1,1,1
51930,2006,2,6,XE,PNS,FL,855,1024,489.0,1,0,1,0,0
51931,2006,2,5,XE,SLC,UT,1155,1415,1195.0,0,0,1,0,0
51932,2006,2,7,XE,IND,IN,925,1240,845.0,0,0,1,0,0
51933,2006,2,1,XE,DAL,TX,1430,1530,217.0,0,0,1,0,1
51934,2006,2,4,XE,LFT,LA,1530,1628,201.0,1,0,1,0,1
51935,2006,2,4,XE,CLT,NC,1540,1905,913.0,0,0,0,0,1
51936,2006,2,5,XE,DAY,OH,1305,1630,929.0,1,0,1,0,1
51937,2006,2,1,XE,MCI,MO,1735,1938,643.0,1,0,0,0,0
51938,2006,2,1,XE,COS,CO,1440,1604,809.0,1,0,1,0,0
51939,2006,2,1,XE,DAL,TX,730,832,217.0,0,0,1,1,0
51940,2006,2,1,XE,OKC,OK,1140,1300,395.0,0,0,1,1,1
51941,2006,2,1,XE,ATL,GA,905,1200,689.0,0,0,1,1,0
51942,2006,2,2,XE,SAV,GA,1935,2252,851.0,1,0,1,0,0
